name,address,location,type,tel,cost,rating,opentime_today,opentime_week,tag
人全到小馆(南秀村店),南秀村15-1号,"118.775711,32.054787",餐饮服务;中餐厅;江苏菜,025-58490112;18305194936,52,4.3,10:00-14:00 16:00-22:00,"周一至周日 10:00-14:00,16:00-22:00","黄花菜烧肉圆,鲶鱼豆腐,虎皮蛋烧肉,八爪鱼烧茄子,黄豆炖猪手,鱼头皮肚锅,鱼头豆腐,青菜烧油渣,小黄鱼烧腌菜,臭豆腐肥肠煲,炖菜核,鸭肫腌菜花烧排骨,铁板虾,大煮干丝,素鸡,八爪鱼,素菜"
EAT食社餐厅,汉口路南秀村21号102室,"118.775536,32.054727",餐饮服务;外国餐厅;西餐厅(综合风味),13852299232;18856567317,86,4.7,,"周二至周日 11:00-15:00,17:00-21:00","鸡肉芝士饼,牛油果沙拉,肉酱意大利面,煎羊排,三明治,牛排,培根奶油蘑菇通心,烟熏三文鱼意面,鸡翅,芝士培根焗薯蓉,mojito,海南鸡饭,番茄酱,烤鸡,芝士,薯条,咕咕鸡,鸡肉,菠菜,意面,三文鱼,早午餐,薄饼,香肠"
咕咕鸡韩国料理(汉口路店),汉口路陶谷新村6号105室,"118.775491,32.054391",餐饮服务;外国餐厅;韩国料理,025-89673380,67,4,10:00-21:00,周一至周日 10:00-21:00,"咕咕炸鸡,拉面年糕,烤五花肉,牛肉菌菇火锅,无骨双拼,石锅拌饭,豆腐汤,酱拌炸鸡,鱼糕汤,辣酱鱿鱼五花肉,牛肉盖饭,炸酱面,咕咕酱饼,海鲜面,招牌拌饭,韩国料理,炒年糕,咕咕鸡,部队火锅,炸薯条,炸鸡,烤牛肉"
元味餐厅(新纪元大酒店店),新纪元大酒店东2门旁(珠江路地铁站3号口步行170米),"118.783863,32.053175",餐饮服务;中餐厅;江苏菜,025-83322666,,4.3,07:00-20:30,周一至周日 07:00-20:30,
烟波渔港(吉兆营店),中山路239号烟波1989,"118.783478,32.052221",餐饮服务;餐饮相关场所;餐饮相关,17761701767,132,4.6,10:00-22:00,周一至周日 10:00-22:00,
La Mia Casa意式小馆(南北秀村小区店),上海路南秀村14-1,"118.775394,32.055769",餐饮服务;外国餐厅;意式菜品餐厅,025-58578887,166,4.8,11:30-14:00 16:30-21:00,周一至周日 11:30-14:00，16:30-21:00,"千层面,火腿,提拉米苏,披萨"
Secco德式餐吧,南秀村路南秀村14-3号,"118.775132,32.055716",体育休闲服务;娱乐场所;酒吧,13405881162;15996302244;17368013085,,4.7,11:00-01:00,周一至周日 11:00-01:00,"鸡肉,烤饼"
肯德基(广州店),广州路104号,"118.778164,32.050388",餐饮服务;快餐厅;肯德基,025-86632902,41,4.6,24小时营业,周一至周日 00:00-24:00,"红豆派,KFC芋缘花淇淋,芋缘花淇淋,海苔岩烧大鸡腿饭,醇香土豆泥,KFC老北京鸡肉卷,肯大大鸡排,伴柠伴桔鲜果茶,黄金鸡块,蔬菜沙拉,葡式蛋挞,KFC香辣（劲脆）鸡腿堡,鸡米花,现磨咖啡,吮指原味鸡,新奥尔良烤鸡腿堡,薯条,可乐,香辣鸡翅,小食拼盘,玉米沙拉,蛋挞,汉堡,老北京鸡肉卷"
南京鼓楼医院食堂,中山路321号(鼓楼地铁站1号口步行130米),"118.783772,32.056831",餐饮服务;中餐厅;中餐厅,,19,4,06:00-20:00,周一至周日 06:00-20:00,
秀爱尔兰餐吧,上海路南秀村29号(云南路地铁站2号口步行470米),"118.774925,32.055580",体育休闲服务;娱乐场所;酒吧,025-85439898,110,4.6,11:00-14:00 17:00-02:00,周一至周日 11:00-14:00，17:00-02:00,"榴莲披萨,羊排"
宜祺发·宸宴·融合菜(金轮峰华天地店),金轮峰华天地(珠江路地铁站3号口步行80米),"118.783730,32.051852",餐饮服务;中餐厅;中餐厅,13814043276,,4.2,11:00-14:00 16:30-21:00,周一至周日 11:00-14:00，16:30-21:00,融合菜
鸡鸣汤包(广州路店),汉口路9号广州路24号401B,"118.780669,32.050191",餐饮服务;快餐厅;快餐厅,025-83531920;19941643597,,4.6,06:00-21:00,周一至周日 06:00-21:00,鸡汁汤包
糯雅芳粥(南京儿童医院店),广州路24-2号糯雅方粥,"118.780767,32.050200",餐饮服务;中餐厅;中餐厅,,,4.4,,,
潘老板炸鸡(广州路店),广州路22-401A(珠江路地铁站出入口步行310米),"118.780921,32.050203",餐饮服务;餐饮相关场所;餐饮相关,15951988989;15996456786,13,4.2,10:00-22:00,周一至周日 10:00-22:00,鸡腿
老南京大三元特色传统点心,广州路22号(珠江路地铁站出入口步行300米),"118.781018,32.050189",餐饮服务;糕饼店;糕饼店,13951739288,31,4.5,08:00-20:00,周一至周日 08:00-20:00,"乌饭,蛋挞,蜜三刀,蝴蝶酥,马蹄糕,条头糕,点心,绿豆糕,青团,桂花糕,水塔糕"
绝味鸭脖(广州路店),广州路22-3号(珠江路地铁站出入口步行300米),"118.781133,32.050193",餐饮服务;餐饮相关场所;餐饮相关,025-83207437;15895982245;4009995917,30,4.4,08:00-22:00,周一至周日 08:00-22:00,超值
小粉桥猪蹄(小粉桥店),珠江路地铁1号出口巷里小粉桥3号,"118.783215,32.051189",餐饮服务;餐饮相关场所;餐饮相关,18761688309,20,4.4,06:00-20:00,周一至周日 06:00-20:00,"猪蹄,猪耳朵,猪尾巴,蹄髈,猪蹄猪尾巴猪舌头,卤肉,口条,小粉桥猪蹄"
成都娃娃花园餐厅(南秀村店),上海路南秀村20号爱尔兰吧对面,"118.774781,32.055693",餐饮服务;中餐厅;中餐厅,025-83208066,152,4.8,11:00-13:30 17:00-20:30,"周一至周日 11:00-13:30,17:00-20:30","柠檬藕片,红糖糍粑,老板的牛肉,辣子鸡,腌笋炒腊肉,白芹炒香干,担担面,藤椒水煮鱼,激情牛蛙,藿香鱼,水煮鸭舌,冒脑花,百年银杏翘嘴鱼,回锅肉,飘香黄喉,牛蛙,牛肉,冰粉,小酥肉,藤椒鱼,蒜泥白肉"
广和生大排档(金轮峰华天地店),中山路223-4号金轮峰华,"118.783712,32.051590",餐饮服务;餐饮相关场所;餐饮相关,15380987276,,4.8,11:00-02:00,周一至周日 11:00-02:00,"鸡肉,鸡汤,大排档"
南京精菜馆,北京西路7号晶丽酒店2层,"118.779419,32.058770",餐饮服务;中餐厅;中餐厅,025-83301777;13815879169,180,4.6,10:00-22:00,周一至周日 10:00-22:00,"大红烧狮子头,黑椒牛排,石锅海鲜粉丝,烤羊腿,千斤鼎,大鹅翅,香煎牛仔骨,肉汁萝卜,XO酱海皇豆腐,石锅黑椒牛尾,淮扬软兜,干切猪肘,芝士焗豆腐,煎招牌煎烧牛尾,芝士风沙金瓜,狮子头"
双黄蛋煎饼,南京大学鼓楼校区鼓楼校区南园广州路门旁,"118.781453,32.050231",餐饮服务;餐饮相关场所;餐饮相关,13701461251,,4.2,06:30-20:30,周一至周日 06:30-20:30,
晶丽酒店香榭自助餐吧,北京西路7号晶丽酒店1层,"118.779521,32.058785",餐饮服务;外国餐厅;外国餐厅,025-83310818;025-83513977,82,4.5,07:00-21:00,周一至周日 07:00-21:00,"糖醋排骨太甜,鸡汤馄饨,扇贝,基围虾,三文鱼,鸭血粉丝汤,培根,橙汁,小馄饨,盐水鸭,点心,蜜汁藕,麻辣烫,鱼汤,阳春面,自助餐,虾生,小黄鱼,糖醋排骨,肉包,油爆虾"
锦上·OCC,北京西路1-2号(鼓楼公园西北门斜对面),"118.781156,32.058622",餐饮服务;中餐厅;中餐厅,,,4.8,11:00-14:00 17:00-21:00,"周一至周日 11:00-14:00,17:00-21:00",
双黄蛋煎饼(南京鼓楼医院店),中山路321-4号(鼓楼地铁站1号口步行100米),"118.783854,32.057079",餐饮服务;餐饮相关场所;餐饮相关,,,4.1,,,
重庆鸡公煲(广州路店),海苑大厦北2门旁,"118.779062,32.049969",餐饮服务;中餐厅;四川菜(川菜),13390914082;15380214506,,4.2,,,
回味鸭血粉丝汤(广州路店),广州路39号一层,"118.779975,32.049930",餐饮服务;中餐厅;中餐厅,18651857774,,4.5,08:00-20:30,周一至周日 08:00-20:30,鸭血粉丝汤
安家桂花汤圆(中山路店),中山路246号(珠江路地铁站3号口步行80米),"118.784356,32.052275",餐饮服务;中餐厅;中餐厅,13851814979,12,4.3,06:00-22:00,周一至周日 06:00-22:00,
鱼籽村秘制拌饭(南大店),湖南路街道广州路16号301商铺,"118.781943,32.050311",餐饮服务;中餐厅;中餐厅,18363188887,25,4.5,09:00-22:00,周一至周日 09:00-22:00,鱼籽
金陵红哥精菜馆(江苏科技大厦店),广州路37号江苏科技大厦1-2层,"118.780186,32.049904",餐饮服务;中餐厅;海鲜酒楼,025-83676677,183,4.4,11:00-13:00 17:00-02:00,周一至周日 11:00-13:00，17:00-02:00,
星记蚝宅·澳洲小蓝龙(上海路店),上海路100号,"118.774457,32.053781",餐饮服务;中餐厅;中餐厅,18913346136;18913380988,153,4.5,11:00-14:00 17:00-02:00,周一至周日 11:00-14:00，17:00-02:00,"生蚝,现捞"
鸭血粉丝汤,广州路13213号,"118.777184,32.050370",餐饮服务;中餐厅;中餐厅,13701473046,22,4.2,10:00-22:00,周一至周日 10:00-22:00,鸭血粉丝汤
穆兰说兰州牛肉面,广州路39号(儿童医院对面),"118.779052,32.049862",餐饮服务;中餐厅;清真菜馆,13369317553;15851825068,21,4.2,09:00-21:00,周一至周日 09:00-21:00,
王家馄饨铺,南京地铁北1门旁(珠江路地铁站3号口步行90米),"118.784506,32.052269",餐饮服务;中餐厅;中餐厅,15950474085,9,4.5,07:30-22:30,周一至周日 07:30-22:30,
西安特色面食(广州路),广州路小粉桥1-2号(珠江路地铁站出入口步行140米),"118.783252,32.050914",餐饮服务;中餐厅;特色/地方风味餐厅,13951678137;18005162818,20,4.1,08:00-21:00,周一至周日 08:00-21:00,"【抢,岐山臊子面,油泼面,肉夹馍"
潼记腊汁肉夹馍,广州路16号(黑鱼汤旁边),"118.782184,32.050285",餐饮服务;快餐厅;快餐厅,18652036520,,4.4,10:00-21:00,周一至周日 10:00-21:00,腊汁肉夹馍
食肉兽·饮食,金银街17-1号(云南路地铁站2号口步行280米),"118.775818,32.057585",餐饮服务;中餐厅;中餐厅,18913380478,,4.2,09:00-23:00,周一至周日 09:00-23:00,
赵椒椒川味麻辣烫,广州路14-6号(珠江路地铁站出入口步行190米),"118.782265,32.050307",餐饮服务;中餐厅;中餐厅,19530256561,,4.4,10:30-22:30,周一至周日 10:30-22:30,川味麻辣烫
独一味·齐齐哈尔烤肉(羲和广场店),珠江路地铁站3号口步行360米,"118.785175,32.054440",餐饮服务;中餐厅;中餐厅,17368483377,,4.6,10:00-24:00,周一至周日 10:00-24:00,齐齐哈尔烤肉
小院冒菜·万物皆可MAO,金银街17号(云南路地铁站2号口步行270米),"118.775791,32.057610",餐饮服务;中餐厅;中餐厅,17301583908,,4.5,10:30-21:30,周一至周日 10:30-21:30,冒菜
可西玛西班牙餐厅,上海路120号(上海路南京银行对面与汉口交叉路口),"118.774232,32.054519",餐饮服务;外国餐厅;地中海风格菜品,025-83337576;13951665575,81,4.5,10:00-21:30,周一至周日 10:00-21:30,"西班牙海鲜饭,土豆饼,桑格利亚,披萨,芝士火腿烤土豆,tapas,墨鱼海鲜饭,蒜香烤翅,凯撒沙拉,可西马披萨,可西玛沙拉,巴塞罗那小吃,金枪鱼色拉,马德里小吃,西班牙女士啤酒（柠檬味）,海鲜饭,大虾,pizza"
鸭得堡(羲和商业广场店),新街口街道中山路288号28羲和商业广场,"118.785225,32.054375",餐饮服务;餐饮相关场所;餐饮相关,,,4.1,,,
朱氏梅花糕,上海路120号-1,"118.774189,32.054636",餐饮服务;中餐厅;中餐厅,13951761715;15062284608,3,4.7,11:00-18:00,周一至周日 11:00-18:00,"紫薯梅花糕,豆沙梅花糕,朱师傅梅花糕,红豆梅花糕,馄饨,布拉卷粉,梅干菜煎饼,水果馅,豆沙,梅花糕"
比萨时光(上海路店),上海路81-7号,"118.774805,32.052207",餐饮服务;快餐厅;快餐厅,13770625552;13813973282,72,4.3,,周一，周三至周日 11:00-14:00，16:00-21:00,"提拉米苏,水果披萨,帕尔玛进口风干火煺披萨,榴莲芝士披萨,意大利肉酱面,孜然烤羊排,水牛奶酪沙拉,海鲜岛粉丝沙律,培根披萨,榴莲芝士全肉双拼披萨,土豆泥,比萨"
麦当劳(广州路餐厅),广州路14号(珠江路地铁站出入口步行160米),"118.782511,32.050331",餐饮服务;快餐厅;麦当劳|餐饮服务;甜品店;甜品店,025-87702817;4008517517,25,4.7,07:00-22:00,周一至周日 07:00-22:00,"原味板烧鸡腿麦满分组合,麦当劳超值嗨餐,（2-3人餐）,麦辣美味三件套,可乐鸡翅,家有金桶（脆鸡版）,安格斯系列,大脆鸡扒麦满分组合,人气美味尽享套餐,板烧美味三件套,麦辣鸡腿堡,巨无霸汉堡,家有金桶（汉堡版）,汉堡,鸡块,巨无霸,大鸡排,下午茶,双人餐,薯条"
筷尚客大食堂(广州路店),广州路12-7号(珠江路地铁站出入口步行150米),"118.782625,32.050335",餐饮服务;中餐厅;中餐厅,025-58363795;13601582099,30,4.5,09:30-21:00,周一至周日 09:30-21:00,带鱼
兰州拉面(吉兆营店),中山路248号(珠江路地铁站3号口步行210米),"118.784745,32.052278",餐饮服务;中餐厅;清真菜馆,18751990095,17,4.2,07:00-22:00,周一至周日 07:00-22:00,拉面
月影韩国餐厅(上海路小区店),上海路87号(近广州路),"118.774188,32.053511",餐饮服务;外国餐厅;韩国料理,025-83207207;13770762064,64,4.6,16:00-04:00,周一至周日 16:00-04:00,"芝士炒年糕,烤五花肉,泡菜饼,奶酪玉米,冷面,豆腐汤,辛拉面,泡菜汤,什锦粉丝,泡菜炒五花肉,海鲜豆腐汤,炒拉面,土豆饼,芝士玉米,辣牛肉粉丝汤,糖醋肉,炒方便面,烤年糕,五花肉"
Genuine南洋小馆,上海路150号(云南路地铁站2号口步行360米),"118.774287,32.055767",餐饮服务;快餐厅;快餐厅,18251838864,,4.6,11:00-21:00,周一至周日 11:00-21:00,"海南鸡,鸡煲,虾仁,鸡肉,冬阴功汤,罗氏虾,牛肉丸"
䱊贩寿司,广州路12号3楼(珠江路地铁站出入口步行110米),"118.782998,32.050455",餐饮服务;外国餐厅;日本料理,,,4,11:00-14:30 17:00-21:00,"周一至周日 11:00-14:30,17:00-21:00",寿司
朵绮鲜食(温沙拉·健康餐),金银街17号朵绮鲜食(云南路地铁站3号口步行380米),"118.775666,32.057754",餐饮服务;餐饮相关场所;餐饮相关,18851731970,,3.8,,周一至周六 10:00-19:00,
董家金牌锅贴(南京大学鼓楼校区店),广州路14-5号(珠江路地铁站出入口步行130米),"118.782897,32.050357",餐饮服务;中餐厅;中餐厅,17705181388,13,4.1,07:00-22:00,周一至周日 07:00-22:00,
赣味记忆·地道江西小炒(南京首店),广州路12号-202室,"118.782974,32.050393",餐饮服务;中餐厅;中餐厅,,,4.7,,,
第一泉酒家(鼓楼店),北京西路6号(近海宁大酒店),"118.778959,32.059194",餐饮服务;中餐厅;中餐厅,025-86632356,53,4.7,11:00-14:00 17:00-20:30,"周一至周日 11:00-14:00,17:00-20:30","小鱼锅贴,我超爱的江米排骨,豆腐圆子,十三香龙虾,鲶鱼粉皮,酸辣鸡丝,糖醋里脊,三鲜老油条,酸汤鱼圆,淮安软兜,油焖茄子,南瓜饼,切片鲈鱼,酸辣汤,糯米藕"
永和大王(广州路店),广州路5-11号(珠江路地铁站出入口步行280米),"118.781825,32.049838",餐饮服务;中餐厅;中餐厅,025-83300464;18801599408;4008159797,20,4.7,06:00-23:00,周一至周日 06:00-23:00,"一口鲜小笼包,野山椒翘脚牛肉饭,喷香藤椒鸡,老长沙肉炒肉,大王卤肉饭升级单人三件套,大王卤肉饭三件套,猪排,皮蛋瘦肉粥,豆浆油条,鸡排,卤肉饭,油条,饭团"
肯德基(珠江路地铁店),中山路221号负一层101至106室115至119室,"118.783637,32.050772",餐饮服务;快餐厅;肯德基,025-85601286,21,4.3,06:00-21:00,周一至周日 06:00-21:00,"蛋挞,饭团,薯条"
玄姬Bistro,上海路85号上海路小区,"118.774212,32.052824",餐饮服务;外国餐厅;西餐厅(综合风味),,55,4.4,11:30-21:30,周一至周日 11:30-21:30,
玄姬Bistro(上海路小区店),北冬瓜市坡上,"118.774166,32.052822",餐饮服务;外国餐厅;西餐厅(综合风味),18013874327,,4.7,,,"芝士,下午茶,番茄酱,意大利面"
南台香饭堂(羲和商业广场店),中山路286号(近漫咖啡和酵墅),"118.785565,32.054281",餐饮服务;中餐厅;中餐厅,15305179579,,4.5,10:00-14:30 16:00-20:30,周一至周日 10:00-14:30，16:00-20:30,
老时光精菜馆(倍格硅巷店),鼓楼街3号(鼓楼地铁站6号口步行210米),"118.780519,32.059310",餐饮服务;中餐厅;中餐厅,,,4.2,09:30-22:00,周一至周日 09:30-22:00,
贵州米线(吉兆花园店),唱经楼西街7号吉兆花园,"118.785110,32.052331",餐饮服务;中餐厅;中餐厅,15151884883,,4.2,08:30-21:00,周一至周日 08:30-21:00,贵州米线
争鲜回转寿司(龙世中心店),广州路2号龙世中心1F(珠江路地铁站1号口旁),"118.783699,32.050644",餐饮服务;外国餐厅;日本料理,025-83401331,44,4.4,11:00-21:00,周一至周日 11:00-21:00,"三文鱼刺身,鳗鱼寿司,中华海草,焦糖三文鱼,龙虾沙拉,辣味章鱼,芝士蛋糕,螺肉寿司,北极贝寿司,玉子烧寿司,鲜虾寿司,鳗鱼块,生姜片,付味墨鱼仔,焦糖鲑,寿司,三文鱼,鳗鱼"
古堡老陈烤串(羲和商业广场店),中山路286号羲和商业广场F1层,"118.785641,32.054963",餐饮服务;中餐厅;特色/地方风味餐厅,,,4.1,,,烤串
米村拌饭(金鹰珠江路店),珠江路1号金鹰珠江路购物中心B2F号商铺,"118.784596,32.051409",餐饮服务;快餐厅;快餐厅,17712917167,,4.9,09:30-21:00,周一至周日 09:30-21:00,"小酥肉,拌饭,牛肉拌饭,石锅拌饭,鱿鱼"
屠夫的女儿·食肉店(羲和商业广场店),中山路286号羲和商业广场F1层,"118.785751,32.054340",餐饮服务;中餐厅;中餐厅,,30,4.4,10:00-22:00,周一至周日 10:00-22:00,
